location_id,stone_id,role,label,lon,lat,coordinate_method,uncertainty_m,confidence,is_estimate,rationale,review_status
DREM85306:current,DREM85306,current_location,Asmild Kirke,9.425,56.4469,source_coordinate,100,medium,False,"Koordinatet er Wikidata P625 på selve stenen. Det behandles foreløbigt som nuværende placering, fordi Wikidata ikke angiver koordinatets historiske rolle. Klassifikationen kræver individuel kontrol; 100 m er en foreløbig usikkerhed.",needs_review
DR189:original,DR189,original_location,,,,unknown,,unknown,False,Ingen undersøgt kilde dokumenterer endnu stenens oprindelige opstillingssted. Fundsted og oprindeligt opstillingssted må ikke sidestilles.,needs_review
DR189:findspot,DR189,findspot,,,,unknown,,unknown,False,Den maskinelt undersøgte Wikidata-post har ingen oplysning om findspot.,needs_review
DR189:current,DR189,current_location,,10.71305556,55.35444444,source_coordinate,100,medium,False,"Koordinatet er Wikidata P625 på selve stenen. Det behandles foreløbigt som nuværende placering, fordi Wikidata ikke angiver koordinatets historiske rolle. Klassifikationen kræver individuel kontrol; 100 m er en foreløbig usikkerhed.",needs_review
DRAUD1996274:original,DRAUD1996274,original_location,,,,unknown,,unknown,False,Ingen undersøgt kilde dokumenterer endnu stenens oprindelige opstillingssted. Fundsted og oprindeligt opstillingssted må ikke sidestilles.,needs_review
DRAUD1996274:findspot,DRAUD1996274,findspot,,,,unknown,,unknown,False,Den maskinelt undersøgte Wikidata-post har ingen oplysning om findspot.,needs_review
DRAUD1996274:current,DRAUD1996274,current_location,Bjerring Kirke,9.62264,56.379,source_coordinate,100,medium,False,"Koordinatet er Wikidata P625 på selve stenen. Det behandles foreløbigt som nuværende placering, fordi Wikidata ikke angiver koordinatets historiske rolle. Klassifikationen kræver individuel kontrol; 100 m er en foreløbig usikkerhed.",needs_review
DRAUD1995279:original,DRAUD1995279,original_location,,,,unknown,,unknown,False,Ingen undersøgt kilde dokumenterer endnu stenens oprindelige opstillingssted. Fundsted og oprindeligt opstillingssted må ikke sidestilles.,needs_review
DRAUD1995279:findspot,DRAUD1995279,findspot,,,,unknown,,unknown,False,Den maskinelt undersøgte Wikidata-post har ingen oplysning om findspot.,needs_review
DRAUD1995279:current,DRAUD1995279,current_location,Borup Kirke,9.98541,56.5048,source_coordinate,100,medium,False,"Koordinatet er Wikidata P625 på selve stenen. Det behandles foreløbigt som nuværende placering, fordi Wikidata ikke angiver koordinatets historiske rolle. Klassifikationen kræver individuel kontrol; 100 m er en foreløbig usikkerhed.",needs_review
DR219:original,DR219,original_location,,,,unknown,,unknown,False,Ingen undersøgt kilde dokumenterer endnu stenens oprindelige opstillingssted. Fundsted og oprindeligt opstillingssted må ikke sidestilles.,needs_review
DR219:findspot,DR219,findspot,,,,unknown,,unknown,False,Den maskinelt undersøgte Wikidata-post har ingen oplysning om findspot.,needs_review
DR219:current,DR219,current_location,Nationalmuseet,12.5742,55.6745,source_coordinate,100,medium,False,"Koordinatet er Wikidata P625 på selve stenen. Det behandles foreløbigt som nuværende placering, fordi Wikidata ikke angiver koordinatets historiske rolle. Klassifikationen kræver individuel kontrol; 100 m er en foreløbig usikkerhed.",needs_review
DR29:original,DR29,original_location,,,,unknown,,unknown,False,Ingen undersøgt kilde dokumenterer endnu stenens oprindelige opstillingssted. Fundsted og oprindeligt opstillingssted må ikke sidestilles.,needs_review
DR29:findspot,DR29,findspot,,,,unknown,,unknown,False,Den maskinelt undersøgte Wikidata-post har ingen oplysning om findspot.,needs_review
DR29:current,DR29,current_location,Bække,9.137001759,55.56910437,source_coordinate,100,medium,False,"Koordinatet er Wikidata P625 på selve stenen. Det behandles foreløbigt som nuværende placering, fordi Wikidata ikke angiver koordinatets historiske rolle. Klassifikationen kræver individuel kontrol; 100 m er en foreløbig usikkerhed.",needs_review
DR30:original,DR30,original_location,,,,unknown,,unknown,False,Ingen undersøgt kilde dokumenterer endnu stenens oprindelige opstillingssted. Fundsted og oprindeligt opstillingssted må ikke sidestilles.,needs_review
DR30:findspot,DR30,findspot,,,,unknown,,unknown,False,Den maskinelt undersøgte Wikidata-post har ingen oplysning om findspot.,needs_review
DR30:current,DR30,current_location,Klebæk Høje,9.14472,55.5819,source_coordinate,100,medium,False,"Koordinatet er Wikidata P625 på selve stenen. Det behandles foreløbigt som nuværende placering, fordi Wikidata ikke angiver koordinatets historiske rolle. Klassifikationen kræver individuel kontrol; 100 m er en foreløbig usikkerhed.",needs_review
DR125:original,DR125,original_location,,,,unknown,,unknown,False,Ingen undersøgt kilde dokumenterer endnu stenens oprindelige opstillingssted. Fundsted og oprindeligt opstillingssted må ikke sidestilles.,needs_review
DR125:findspot,DR125,findspot,,,,unknown,,unknown,False,Den maskinelt undersøgte Wikidata-post har ingen oplysning om findspot.,needs_review
DR125:current,DR125,current_location,Dalbyover Kirke,10.1951,56.6203,source_coordinate,100,medium,False,"Koordinatet er Wikidata P625 på selve stenen. Det behandles foreløbigt som nuværende placering, fordi Wikidata ikke angiver koordinatets historiske rolle. Klassifikationen kræver individuel kontrol; 100 m er en foreløbig usikkerhed.",needs_review
DR37:original,DR37,original_location,,,,unknown,,unknown,False,Ingen undersøgt kilde dokumenterer endnu stenens oprindelige opstillingssted. Fundsted og oprindeligt opstillingssted må ikke sidestilles.,needs_review
DR37:findspot,DR37,findspot,,,,unknown,,unknown,False,Den maskinelt undersøgte Wikidata-post har ingen oplysning om findspot.,needs_review
DR37:current,DR37,current_location,Egtved Kirke,9.3004,55.6199,source_coordinate,100,medium,False,"Koordinatet er Wikidata P625 på selve stenen. Det behandles foreløbigt som nuværende placering, fordi Wikidata ikke angiver koordinatets historiske rolle. Klassifikationen kræver individuel kontrol; 100 m er en foreløbig usikkerhed.",needs_review
DREM85523B:original,DREM85523B,original_location,,,,unknown,,unknown,False,Ingen undersøgt kilde dokumenterer endnu stenens oprindelige opstillingssted. Fundsted og oprindeligt opstillingssted må ikke sidestilles.,needs_review
DREM85523B:findspot,DREM85523B,findspot,,,,unknown,,unknown,False,Den maskinelt undersøgte Wikidata-post har ingen oplysning om findspot.,needs_review
DREM85523B:current,DREM85523B,current_location,Farsø Kirke,9.339,56.7741,source_coordinate,100,medium,False,"Koordinatet er Wikidata P625 på selve stenen. Det behandles foreløbigt som nuværende placering, fordi Wikidata ikke angiver koordinatets historiske rolle. Klassifikationen kræver individuel kontrol; 100 m er en foreløbig usikkerhed.",needs_review
DR145:original,DR145,original_location,,,,unknown,,unknown,False,Ingen undersøgt kilde dokumenterer endnu stenens oprindelige opstillingssted. Fundsted og oprindeligt opstillingssted må ikke sidestilles.,needs_review
DR145:findspot,DR145,findspot,,,,unknown,,unknown,False,Den maskinelt undersøgte Wikidata-post har ingen oplysning om findspot.,needs_review
DR145:current,DR145,current_location,,9.89722,56.9511,source_coordinate,100,medium,False,"Koordinatet er Wikidata P625 på selve stenen. Det behandles foreløbigt som nuværende placering, fordi Wikidata ikke angiver koordinatets historiske rolle. Klassifikationen kræver individuel kontrol; 100 m er en foreløbig usikkerhed.",needs_review
DR238:original,DR238,original_location,,,,unknown,,unknown,False,Ingen undersøgt kilde dokumenterer endnu stenens oprindelige opstillingssted. Fundsted og oprindeligt opstillingssted må ikke sidestilles.,needs_review
DR238:findspot,DR238,findspot,,,,unknown,,unknown,False,Den maskinelt undersøgte Wikidata-post har ingen oplysning om findspot.,needs_review
DR238:current,DR238,current_location,Fjenneslev Kirke,11.68745,55.43349,source_coordinate,100,medium,False,"Koordinatet er Wikidata P625 på selve stenen. Det behandles foreløbigt som nuværende placering, fordi Wikidata ikke angiver koordinatets historiske rolle. Klassifikationen kræver individuel kontrol; 100 m er en foreløbig usikkerhed.",needs_review
DR132:original,DR132,original_location,,,,unknown,,unknown,False,Ingen undersøgt kilde dokumenterer endnu stenens oprindelige opstillingssted. Fundsted og oprindeligt opstillingssted må ikke sidestilles.,needs_review
DR132:findspot,DR132,findspot,,,,unknown,,unknown,False,Den maskinelt undersøgte Wikidata-post har ingen oplysning om findspot.,needs_review
DR132:current,DR132,current_location,,9.34227,56.8663,source_coordinate,100,medium,False,"Koordinatet er Wikidata P625 på selve stenen. Det behandles foreløbigt som nuværende placering, fordi Wikidata ikke angiver koordinatets historiske rolle. Klassifikationen kræver individuel kontrol; 100 m er en foreløbig usikkerhed.",needs_review
DR193:original,DR193,original_location,,,,unknown,,unknown,False,Ingen undersøgt kilde dokumenterer endnu stenens oprindelige opstillingssted. Fundsted og oprindeligt opstillingssted må ikke sidestilles.,needs_review
DR193:findspot,DR193,findspot,Flemløse,10.067222222,55.251111111,related_place_coordinate,5000,medium,True,Wikidata P189 navngiver fundstedet; punktet er P625-koordinatet for det relaterede sted og ikke nødvendigvis det præcise fundpunkt. 5 km er en konservativ standardusikkerhed indtil individuel kontrol.,needs_review
DR193:current,DR193,current_location,Jægerspris Slotspark,11.9678,55.8609,source_coordinate,100,medium,False,"Koordinatet er Wikidata P625 på selve stenen. Det behandles foreløbigt som nuværende placering, fordi Wikidata ikke angiver koordinatets historiske rolle. Klassifikationen kræver individuel kontrol; 100 m er en foreløbig usikkerhed.",needs_review
DR192:original,DR192,original_location,,,,unknown,,unknown,False,Ingen undersøgt kilde dokumenterer endnu stenens oprindelige opstillingssted. Fundsted og oprindeligt opstillingssted må ikke sidestilles.,needs_review
DR192:findspot,DR192,findspot,Flemløse,10.067222222,55.251111111,related_place_coordinate,5000,medium,True,Wikidata P189 navngiver fundstedet; punktet er P625-koordinatet for det relaterede sted og ikke nødvendigvis det præcise fundpunkt. 5 km er en konservativ standardusikkerhed indtil individuel kontrol.,needs_review
DR192:current,DR192,current_location,Jægerspris Slotspark,11.9787,55.8566,source_coordinate,100,medium,False,"Koordinatet er Wikidata P625 på selve stenen. Det behandles foreløbigt som nuværende placering, fordi Wikidata ikke angiver koordinatets historiske rolle. Klassifikationen kræver individuel kontrol; 100 m er en foreløbig usikkerhed.",needs_review
DR130:original,DR130,original_location,,,,unknown,,unknown,False,Ingen undersøgt kilde dokumenterer endnu stenens oprindelige opstillingssted. Fundsted og oprindeligt opstillingssted må ikke sidestilles.,needs_review
DR130:findspot,DR130,findspot,,,,unknown,,unknown,False,Den maskinelt undersøgte Wikidata-post har ingen oplysning om findspot.,needs_review
DR130:current,DR130,current_location,Giver Kirke,9.58213,56.8294,source_coordinate,100,medium,False,"Koordinatet er Wikidata P625 på selve stenen. Det behandles foreløbigt som nuværende placering, fordi Wikidata ikke angiver koordinatets historiske rolle. Klassifikationen kræver individuel kontrol; 100 m er en foreløbig usikkerhed.",needs_review
DR122:original,DR122,original_location,,,,unknown,,unknown,False,Ingen undersøgt kilde dokumenterer endnu stenens oprindelige opstillingssted. Fundsted og oprindeligt opstillingssted må ikke sidestilles.,needs_review
DR122:findspot,DR122,findspot,,,,unknown,,unknown,False,Den maskinelt undersøgte Wikidata-post har ingen oplysning om findspot.,needs_review
DR122:current,DR122,current_location,Nationalmuseet,12.5742,55.6745,source_coordinate,100,medium,False,"Koordinatet er Wikidata P625 på selve stenen. Det behandles foreløbigt som nuværende placering, fordi Wikidata ikke angiver koordinatets historiske rolle. Klassifikationen kræver individuel kontrol; 100 m er en foreløbig usikkerhed.",needs_review
DR123:original,DR123,original_location,,,,unknown,,unknown,False,Ingen undersøgt kilde dokumenterer endnu stenens oprindelige opstillingssted. Fundsted og oprindeligt opstillingssted må ikke sidestilles.,needs_review
DR123:findspot,DR123,findspot,,,,unknown,,unknown,False,Den maskinelt undersøgte Wikidata-post har ingen oplysning om findspot.,needs_review
DR123:current,DR123,current_location,Glenstrup Kirke,9.85189,56.5842,source_coordinate,100,medium,False,"Koordinatet er Wikidata P625 på selve stenen. Det behandles foreløbigt som nuværende placering, fordi Wikidata ikke angiver koordinatets historiske rolle. Klassifikationen kræver individuel kontrol; 100 m er en foreløbig usikkerhed.",needs_review
DR91:original,DR91,original_location,,,,unknown,,unknown,False,Ingen undersøgt kilde dokumenterer endnu stenens oprindelige opstillingssted. Fundsted og oprindeligt opstillingssted må ikke sidestilles.,needs_review
DR91:findspot,DR91,findspot,,,,unknown,,unknown,False,Den maskinelt undersøgte Wikidata-post har ingen oplysning om findspot.,needs_review
DR91:current,DR91,current_location,Grensten Kirke,9.924135083,56.420765278,source_coordinate,100,medium,False,"Koordinatet er Wikidata P625 på selve stenen. Det behandles foreløbigt som nuværende placering, fordi Wikidata ikke angiver koordinatets historiske rolle. Klassifikationen kræver individuel kontrol; 100 m er en foreløbig usikkerhed.",needs_review
DR144:original,DR144,original_location,,,,unknown,,unknown,False,Ingen undersøgt kilde dokumenterer endnu stenens oprindelige opstillingssted. Fundsted og oprindeligt opstillingssted må ikke sidestilles.,needs_review
DR144:findspot,DR144,findspot,,,,unknown,,unknown,False,Den maskinelt undersøgte Wikidata-post har ingen oplysning om findspot.,needs_review
DR144:current,DR144,current_location,Gunderup Kirke,10.01487,56.94146,source_coordinate,100,medium,False,"Koordinatet er Wikidata P625 på selve stenen. Det behandles foreløbigt som nuværende placering, fordi Wikidata ikke angiver koordinatets historiske rolle. Klassifikationen kræver individuel kontrol; 100 m er en foreløbig usikkerhed.",needs_review
DR53:original,DR53,original_location,,,,unknown,,unknown,False,Ingen undersøgt kilde dokumenterer endnu stenens oprindelige opstillingssted. Fundsted og oprindeligt opstillingssted må ikke sidestilles.,needs_review
DR53:findspot,DR53,findspot,Gylling,10.1681,55.8897,related_place_coordinate,5000,medium,True,Wikidata P189 navngiver fundstedet; punktet er P625-koordinatet for det relaterede sted og ikke nødvendigvis det præcise fundpunkt. 5 km er en konservativ standardusikkerhed indtil individuel kontrol.,needs_review
DR53:current,DR53,current_location,Gylling Kirke,10.1645,55.8903,source_coordinate,100,medium,False,"Koordinatet er Wikidata P625 på selve stenen. Det behandles foreløbigt som nuværende placering, fordi Wikidata ikke angiver koordinatets historiske rolle. Klassifikationen kræver individuel kontrol; 100 m er en foreløbig usikkerhed.",needs_review
DR70:original,DR70,original_location,,,,unknown,,unknown,False,Ingen undersøgt kilde dokumenterer endnu stenens oprindelige opstillingssted. Fundsted og oprindeligt opstillingssted må ikke sidestilles.,needs_review
DR70:findspot,DR70,findspot,,,,unknown,,unknown,False,Den maskinelt undersøgte Wikidata-post har ingen oplysning om findspot.,needs_review
DR70:current,DR70,current_location,,9.86304,56.2554,source_coordinate,100,medium,False,"Koordinatet er Wikidata P625 på selve stenen. Det behandles foreløbigt som nuværende placering, fordi Wikidata ikke angiver koordinatets historiske rolle. Klassifikationen kræver individuel kontrol; 100 m er en foreløbig usikkerhed.",needs_review
DR190:original,DR190,original_location,,,,unknown,,unknown,False,Ingen undersøgt kilde dokumenterer endnu stenens oprindelige opstillingssted. Fundsted og oprindeligt opstillingssted må ikke sidestilles.,needs_review
DR190:findspot,DR190,findspot,,,,unknown,,unknown,False,Den maskinelt undersøgte Wikidata-post har ingen oplysning om findspot.,needs_review
DR190:current,DR190,current_location,Nationalmuseet,12.575547,55.674861,source_coordinate,100,medium,False,"Koordinatet er Wikidata P625 på selve stenen. Det behandles foreløbigt som nuværende placering, fordi Wikidata ikke angiver koordinatets historiske rolle. Klassifikationen kræver individuel kontrol; 100 m er en foreløbig usikkerhed.",needs_review
DR77:original,DR77,original_location,,,,unknown,,unknown,False,Ingen undersøgt kilde dokumenterer endnu stenens oprindelige opstillingssted. Fundsted og oprindeligt opstillingssted må ikke sidestilles.,needs_review
DR77:findspot,DR77,findspot,,,,unknown,,unknown,False,Den maskinelt undersøgte Wikidata-post har ingen oplysning om findspot.,needs_review
DR77:current,DR77,current_location,Hjermind,9.681838798,56.395807092,source_coordinate,100,medium,False,"Koordinatet er Wikidata P625 på selve stenen. Det behandles foreløbigt som nuværende placering, fordi Wikidata ikke angiver koordinatets historiske rolle. Klassifikationen kræver individuel kontrol; 100 m er en foreløbig usikkerhed.",needs_review
DR127:original,DR127,original_location,,,,unknown,,unknown,False,Ingen undersøgt kilde dokumenterer endnu stenens oprindelige opstillingssted. Fundsted og oprindeligt opstillingssted må ikke sidestilles.,needs_review
DR127:findspot,DR127,findspot,,,,unknown,,unknown,False,Den maskinelt undersøgte Wikidata-post har ingen oplysning om findspot.,needs_review
DR127:current,DR127,current_location,Hobro Bibliotek,9.79339,56.6386,source_coordinate,100,medium,False,"Koordinatet er Wikidata P625 på selve stenen. Det behandles foreløbigt som nuværende placering, fordi Wikidata ikke angiver koordinatets historiske rolle. Klassifikationen kræver individuel kontrol; 100 m er en foreløbig usikkerhed.",needs_review
DR34:original,DR34,original_location,,,,unknown,,unknown,False,Ingen undersøgt kilde dokumenterer endnu stenens oprindelige opstillingssted. Fundsted og oprindeligt opstillingssted må ikke sidestilles.,needs_review
DR34:findspot,DR34,findspot,,,,unknown,,unknown,False,Den maskinelt undersøgte Wikidata-post har ingen oplysning om findspot.,needs_review
DR34:current,DR34,current_location,Horne,8.53014,55.72406,source_coordinate,100,medium,False,"Koordinatet er Wikidata P625 på selve stenen. Det behandles foreløbigt som nuværende placering, fordi Wikidata ikke angiver koordinatets historiske rolle. Klassifikationen kræver individuel kontrol; 100 m er en foreløbig usikkerhed.",needs_review
DR150:original,DR150,original_location,,,,unknown,,unknown,False,Ingen undersøgt kilde dokumenterer endnu stenens oprindelige opstillingssted. Fundsted og oprindeligt opstillingssted må ikke sidestilles.,needs_review
DR150:findspot,DR150,findspot,,,,unknown,,unknown,False,Den maskinelt undersøgte Wikidata-post har ingen oplysning om findspot.,needs_review
DR150:current,DR150,current_location,Hurup Kirke,8.425803504,56.754084745,source_coordinate,100,medium,False,"Koordinatet er Wikidata P625 på selve stenen. Det behandles foreløbigt som nuværende placering, fordi Wikidata ikke angiver koordinatets historiske rolle. Klassifikationen kræver individuel kontrol; 100 m er en foreløbig usikkerhed.",needs_review
DR160:original,DR160,original_location,,,,unknown,,unknown,False,Ingen undersøgt kilde dokumenterer endnu stenens oprindelige opstillingssted. Fundsted og oprindeligt opstillingssted må ikke sidestilles.,needs_review
DR160:findspot,DR160,findspot,,,,unknown,,unknown,False,Den maskinelt undersøgte Wikidata-post har ingen oplysning om findspot.,needs_review
DR160:current,DR160,current_location,,9.66958,57.2109,source_coordinate,100,medium,False,"Koordinatet er Wikidata P625 på selve stenen. Det behandles foreløbigt som nuværende placering, fordi Wikidata ikke angiver koordinatets historiske rolle. Klassifikationen kræver individuel kontrol; 100 m er en foreløbig usikkerhed.",needs_review
DREM85308:original,DREM85308,original_location,,,,unknown,,unknown,False,Ingen undersøgt kilde dokumenterer endnu stenens oprindelige opstillingssted. Fundsted og oprindeligt opstillingssted må ikke sidestilles.,needs_review
DREM85308:findspot,DREM85308,findspot,,,,unknown,,unknown,False,Den maskinelt undersøgte Wikidata-post har ingen oplysning om findspot.,needs_review
DREM85308:current,DREM85308,current_location,,9.64676369,56.60389417,source_coordinate,100,medium,False,"Koordinatet er Wikidata P625 på selve stenen. Det behandles foreløbigt som nuværende placering, fordi Wikidata ikke angiver koordinatets historiske rolle. Klassifikationen kræver individuel kontrol; 100 m er en foreløbig usikkerhed.",needs_review
DR86:original,DR86,original_location,,,,unknown,,unknown,False,Ingen undersøgt kilde dokumenterer endnu stenens oprindelige opstillingssted. Fundsted og oprindeligt opstillingssted må ikke sidestilles.,needs_review
DR86:findspot,DR86,findspot,,,,unknown,,unknown,False,Den maskinelt undersøgte Wikidata-post har ingen oplysning om findspot.,needs_review
DR86:current,DR86,current_location,,9.891636997,56.39472415,source_coordinate,100,medium,False,"Koordinatet er Wikidata P625 på selve stenen. Det behandles foreløbigt som nuværende placering, fordi Wikidata ikke angiver koordinatets historiske rolle. Klassifikationen kræver individuel kontrol; 100 m er en foreløbig usikkerhed.",needs_review
DR140:original,DR140,original_location,,,,unknown,,unknown,False,Ingen undersøgt kilde dokumenterer endnu stenens oprindelige opstillingssted. Fundsted og oprindeligt opstillingssted må ikke sidestilles.,needs_review
DR140:findspot,DR140,findspot,,,,unknown,,unknown,False,Den maskinelt undersøgte Wikidata-post har ingen oplysning om findspot.,needs_review
DR140:current,DR140,current_location,,10.0434,56.8438,source_coordinate,100,medium,False,"Koordinatet er Wikidata P625 på selve stenen. Det behandles foreløbigt som nuværende placering, fordi Wikidata ikke angiver koordinatets historiske rolle. Klassifikationen kræver individuel kontrol; 100 m er en foreløbig usikkerhed.",needs_review
DR211:original,DR211,original_location,,,,unknown,,unknown,False,Ingen undersøgt kilde dokumenterer endnu stenens oprindelige opstillingssted. Fundsted og oprindeligt opstillingssted må ikke sidestilles.,needs_review
DR211:findspot,DR211,findspot,,,,unknown,,unknown,False,Den maskinelt undersøgte Wikidata-post har ingen oplysning om findspot.,needs_review
DR211:current,DR211,current_location,Nørre Næraa Kirke,10.28354,55.57329,source_coordinate,100,medium,False,"Koordinatet er Wikidata P625 på selve stenen. Det behandles foreløbigt som nuværende placering, fordi Wikidata ikke angiver koordinatets historiske rolle. Klassifikationen kræver individuel kontrol; 100 m er en foreløbig usikkerhed.",needs_review
DR40:original,DR40,original_location,,,,unknown,,unknown,False,Ingen undersøgt kilde dokumenterer endnu stenens oprindelige opstillingssted. Fundsted og oprindeligt opstillingssted må ikke sidestilles.,needs_review
DR40:findspot,DR40,findspot,,,,unknown,,unknown,False,Den maskinelt undersøgte Wikidata-post har ingen oplysning om findspot.,needs_review
DR40:current,DR40,current_location,,9.214344597,55.656031767,source_coordinate,100,medium,False,"Koordinatet er Wikidata P625 på selve stenen. Det behandles foreløbigt som nuværende placering, fordi Wikidata ikke angiver koordinatets historiske rolle. Klassifikationen kræver individuel kontrol; 100 m er en foreløbig usikkerhed.",needs_review
DR135:original,DR135,original_location,,,,unknown,,unknown,False,Ingen undersøgt kilde dokumenterer endnu stenens oprindelige opstillingssted. Fundsted og oprindeligt opstillingssted må ikke sidestilles.,needs_review
DR135:findspot,DR135,findspot,,,,unknown,,unknown,False,Den maskinelt undersøgte Wikidata-post har ingen oplysning om findspot.,needs_review
DR135:current,DR135,current_location,,9.58969,56.7505,source_coordinate,100,medium,False,"Koordinatet er Wikidata P625 på selve stenen. Det behandles foreløbigt som nuværende placering, fordi Wikidata ikke angiver koordinatets historiske rolle. Klassifikationen kræver individuel kontrol; 100 m er en foreløbig usikkerhed.",needs_review
DR134:original,DR134,original_location,,,,unknown,,unknown,False,Ingen undersøgt kilde dokumenterer endnu stenens oprindelige opstillingssted. Fundsted og oprindeligt opstillingssted må ikke sidestilles.,needs_review
DR134:findspot,DR134,findspot,,,,unknown,,unknown,False,Den maskinelt undersøgte Wikidata-post har ingen oplysning om findspot.,needs_review
DR134:current,DR134,current_location,Ravnkilde,9.756433919,56.755172409,source_coordinate,100,medium,False,"Koordinatet er Wikidata P625 på selve stenen. Det behandles foreløbigt som nuværende placering, fordi Wikidata ikke angiver koordinatets historiske rolle. Klassifikationen kræver individuel kontrol; 100 m er en foreløbig usikkerhed.",needs_review
DR239:original,DR239,original_location,,,,unknown,,unknown,False,Ingen undersøgt kilde dokumenterer endnu stenens oprindelige opstillingssted. Fundsted og oprindeligt opstillingssted må ikke sidestilles.,needs_review
DR239:findspot,DR239,findspot,,,,unknown,,unknown,False,Den maskinelt undersøgte Wikidata-post har ingen oplysning om findspot.,needs_review
DR239:current,DR239,current_location,Gørlev Kirke,11.226483,55.538139,source_coordinate,100,medium,False,"Koordinatet er Wikidata P625 på selve stenen. Det behandles foreløbigt som nuværende placering, fordi Wikidata ikke angiver koordinatets historiske rolle. Klassifikationen kræver individuel kontrol; 100 m er en foreløbig usikkerhed.",needs_review
DREM85221:original,DREM85221,original_location,,,,unknown,,unknown,False,Ingen undersøgt kilde dokumenterer endnu stenens oprindelige opstillingssted. Fundsted og oprindeligt opstillingssted må ikke sidestilles.,needs_review
DREM85221:findspot,DREM85221,findspot,,,,unknown,,unknown,False,Den maskinelt undersøgte Wikidata-post har ingen oplysning om findspot.,needs_review
DREM85221:current,DREM85221,current_location,,9.41823,55.7568,source_coordinate,100,medium,False,"Koordinatet er Wikidata P625 på selve stenen. Det behandles foreløbigt som nuværende placering, fordi Wikidata ikke angiver koordinatets historiske rolle. Klassifikationen kræver individuel kontrol; 100 m er en foreløbig usikkerhed.",needs_review
DREM85239:original,DREM85239,original_location,,,,unknown,,unknown,False,Ingen undersøgt kilde dokumenterer endnu stenens oprindelige opstillingssted. Fundsted og oprindeligt opstillingssted må ikke sidestilles.,needs_review
DREM85239:findspot,DREM85239,findspot,,,,unknown,,unknown,False,Den maskinelt undersøgte Wikidata-post har ingen oplysning om findspot.,needs_review
DREM85239:current,DREM85239,current_location,Gørlev Kirke,11.2265,55.5381,source_coordinate,100,medium,False,"Koordinatet er Wikidata P625 på selve stenen. Det behandles foreløbigt som nuværende placering, fordi Wikidata ikke angiver koordinatets historiske rolle. Klassifikationen kræver individuel kontrol; 100 m er en foreløbig usikkerhed.",needs_review
DR229:original,DR229,original_location,,,,unknown,,unknown,False,Ingen undersøgt kilde dokumenterer endnu stenens oprindelige opstillingssted. Fundsted og oprindeligt opstillingssted må ikke sidestilles.,needs_review
DR229:findspot,DR229,findspot,,,,unknown,,unknown,False,Den maskinelt undersøgte Wikidata-post har ingen oplysning om findspot.,needs_review
DR229:current,DR229,current_location,Nationalmuseet,12.5742,55.6745,source_coordinate,100,medium,False,"Koordinatet er Wikidata P625 på selve stenen. Det behandles foreløbigt som nuværende placering, fordi Wikidata ikke angiver koordinatets historiske rolle. Klassifikationen kræver individuel kontrol; 100 m er en foreløbig usikkerhed.",needs_review
DR228:original,DR228,original_location,,,,unknown,,unknown,False,Ingen undersøgt kilde dokumenterer endnu stenens oprindelige opstillingssted. Fundsted og oprindeligt opstillingssted må ikke sidestilles.,needs_review
